Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143
Random Forest Classifier,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.42857142857142855
